[FIPS CODE ,  SHORT NAME ,  FULL NAME ,  STATE ,  LATATUDE ,  LONGITUDE ,  POPULATION (2020) ,  AREA (SQ MI)]
[21115, Johnson, Johnson County, KY, 37.8466, -82.8315, 22334, 261.95]
[29083, Henry, Henry County, MO, 38.3852, -93.7928, 22328, 696.95]
[37007, Anson, Anson County, NC, 34.9738, -80.1027, 22289, 531.45]
[48293, Limestone, Limestone County, TX, 31.5455, -96.5805, 22283, 905.29]
[48165, Gaines, Gaines County, TX, 32.7408, -102.6352, 22232, 1502.38]
[16067, Minidoka, Minidoka County, ID, 42.8543, -113.6375, 22208, 757.59]
[40009, Beckham, Beckham County, OK, 35.2687, -99.682, 22148, 901.81]
[1007, Bibb, Bibb County, AL, 32.9986, -87.1265, 22130, 622.58]
[47151, Scott, Scott County, TN, 36.4285, -84.5035, 22113, 532.3]
[22043, Grant, Grant Parish, LA, 31.5997, -92.5595, 22095, 643.03]
[5103, Ouachita, Ouachita County, AR, 33.5934, -92.8819, 22085, 732.78]
[49041, Sevier, Sevier County, UT, 38.7477, -111.8046, 22085, 1910.58]
[48225, Houston, Houston County, TX, 31.3177, -95.4227, 22051, 1230.91]
[27105, Nobles, Nobles County, MN, 43.6742, -95.7534, 22041, 715.11]
[48019, Bandera, Bandera County, TX, 29.7472, -99.2463, 22021, 790.96]
[19123, Mahaska, Mahaska County, IA, 41.3352, -92.6409, 22021, 570.86]
[51147, Prince Edward, Prince Edward County, VA, 37.2243, -78.4411, 21996, 349.96]
[6011, Colusa, Colusa County, CA, 39.1775, -122.237, 21984, 1150.73]
[22085, Sabine, Sabine Parish, LA, 31.564, -93.5547, 21977, 866.66]
[51105, Lee, Lee County, VA, 36.7054, -83.1286, 21900, 435.52]
[39105, Meigs, Meigs County, OH, 39.0822, -82.0229, 21896, 430.1]
[37115, Madison, Madison County, NC, 35.858, -82.7058, 21867, 449.57]
[17085, Jo Daviess, Jo Daviess County, IL, 42.3658, -90.2126, 21851, 601.09]
[27057, Hubbard, Hubbard County, MN, 47.1086, -94.9167, 21831, 925.68]
[54009, Brooke, Brooke County, WV, 40.2739, -80.5764, 21805, 89.21]
[13189, McDuffie, McDuffie County, GA, 33.4828, -82.4814, 21718, 257.46]
[29141, Morgan, Morgan County, MO, 38.4237, -92.886, 21717, 597.63]
[37117, Martin, Martin County, NC, 35.8432, -77.1092, 21644, 461.22]
[31067, Gage, Gage County, NE, 40.2619, -96.6894, 21629, 851.49]
[18119, Owen, Owen County, IN, 39.3128, -86.8377, 21604, 385.29]
[39175, Wyandot, Wyandot County, OH, 40.8424, -83.3044, 21598, 406.87]
[27157, Wabasha, Wabasha County, MN, 44.2843, -92.2303, 21565, 522.98]
[38093, Stutsman, Stutsman County, ND, 46.9793, -98.9588, 21549, 2221.72]
[28139, Tippah, Tippah County, MS, 34.7684, -88.9089, 21523, 457.82]
[12123, Taylor, Taylor County, FL, 30.047, -83.6035, 21503, 1043.31]
[20175, Seward, Seward County, KS, 37.1933, -100.8513, 21486, 639.5]
[51169, Scott, Scott County, VA, 36.7143, -82.6029, 21479, 535.53]
[29049, Clinton, Clinton County, MO, 39.6018, -94.4046, 21414, 418.96]
[27045, Fillmore, Fillmore County, MN, 43.674, -92.0902, 21414, 861.3]
[48341, Moore, Moore County, TX, 35.8377, -101.893, 21373, 899.69]
[48219, Hockley, Hockley County, TX, 33.6076, -102.3432, 21363, 908.39]
[47129, Morgan, Morgan County, TN, 36.135, -84.6492, 21361, 522.18]
[31043, Dakota, Dakota County, NE, 42.3911, -96.5646, 21354, 264.26]
[28079, Leake, Leake County, MS, 32.7535, -89.524, 21319, 583.0]
[17051, Fayette, Fayette County, IL, 39.0002, -89.0241, 21315, 716.48]
[21003, Allen, Allen County, KY, 36.7513, -86.1904, 21293, 344.34]
[5083, Logan, Logan County, AR, 35.2149, -93.7166, 21277, 708.13]
[17083, Jersey, Jersey County, IL, 39.0855, -90.3565, 21274, 369.27]
[28043, Grenada, Grenada County, MS, 33.7699, -89.802, 21217, 422.11]
[30053, Lincoln, Lincoln County, MT, 48.5425, -115.4051, 21175, 3612.92]
[51079, Greene, Greene County, VA, 38.2976, -78.4669, 21155, 156.25]
[5019, Clark, Clark County, AR, 34.051, -93.1764, 21125, 866.07]
[55001, Adams, Adams County, WI, 43.9695, -89.7704, 21123, 645.65]
[31177, Washington, Washington County, NE, 41.5311, -96.222, 21106, 389.96]
[28101, Newton, Newton County, MS, 32.4002, -89.1188, 21093, 578.1]
[13211, Morgan, Morgan County, GA, 33.5909, -83.4923, 21078, 347.35]
[13205, Mitchell, Mitchell County, GA, 31.2253, -84.1943, 21058, 512.09]
[5029, Conway, Conway County, AR, 35.2624, -92.7014, 21054, 552.25]
[48337, Montague, Montague County, TX, 33.6757, -97.7246, 21046, 930.91]
[48179, Gray, Gray County, TX, 35.4012, -100.8126, 21045, 925.97]
[27039, Dodge, Dodge County, MN, 44.0226, -92.8621, 21045, 439.28]
[54005, Boone, Boone County, WV, 38.0229, -81.7115, 21026, 501.54]
[48089, Colorado, Colorado County, TX, 29.6208, -96.5263, 21006, 960.27]
[55053, Jackson, Jackson County, WI, 44.3192, -90.8053, 20981, 987.72]
[47041, DeKalb, DeKalb County, TN, 35.9799, -85.8328, 20959, 304.35]
